auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoDilatedRNN,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoDilatedRNN,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoFEDformer,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoFEDformer,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoFEDformer,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoFEDformer,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoFEDformer,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoFEDformer,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoFEDformer,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoFEDformer,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoFEDformer,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoFEDformer,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoFEDformer,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoFEDformer,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoFEDformer,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoGRU,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoGRU,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoGRU,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoGRU,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoGRU,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoGRU,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoGRU,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoGRU,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoGRU,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoGRU,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoGRU,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoGRU,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoGRU,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoHINT,S,True,empty,,,POSITIONAL_OR_KEYWORD
AutoHINT,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoHINT,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoHINT,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoHINT,cls_model,True,empty,,,POSITIONAL_OR_KEYWORD
AutoHINT,config,True,empty,,,POSITIONAL_OR_KEYWORD
AutoHINT,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoHINT,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoHINT,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoHINT,loss,True,empty,,,POSITIONAL_OR_KEYWORD
